I_TX,Q_TX
symbol:11,symbol:11
symbol:01,symbol:00
symbol:00,symbol:11
symbol:01,symbol:11
symbol:11,symbol:00
symbol:01,symbol:10
symbol:10,symbol:10
symbol:10,symbol:10
symbol:11,symbol:11
symbol:00,symbol:01
symbol:01,symbol:01
symbol:11,symbol:10
symbol:10,symbol:00
symbol:11,symbol:00
symbol:01,symbol:00
symbol:10,symbol:01
symbol:01,symbol:01
symbol:10,symbol:11
symbol:10,symbol:10
symbol:00,symbol:01
symbol:01,symbol:01
symbol:01,symbol:00
symbol:01,symbol:00
symbol:10,symbol:11
symbol:10,symbol:11
symbol:11,symbol:00
symbol:01,symbol:10
symbol:01,symbol:11
symbol:10,symbol:11
symbol:11,symbol:01
symbol:10,symbol:11
symbol:11,symbol:11
symbol:10,symbol:00
symbol:00,symbol:10
symbol:11,symbol:11
symbol:11,symbol:10
symbol:10,symbol:01
symbol:11,symbol:10
symbol:01,symbol:10
symbol:01,symbol:10
symbol:10,symbol:11
symbol:00,symbol:00
symbol:10,symbol:01
symbol:00,symbol:00
symbol:10,symbol:10
symbol:01,symbol:11
symbol:01,symbol:11
symbol:01,symbol:11
symbol:10,symbol:10
symbol:11,symbol:10
symbol:11,symbol:01
symbol:00,symbol:11
symbol:11,symbol:10
symbol:11,symbol:00
symbol:10,symbol:00
symbol:01,symbol:00
symbol:00,symbol:11
symbol:10,symbol:01
symbol:01,symbol:01
symbol:11,symbol:01
symbol:10,symbol:11
symbol:00,symbol:01
symbol:01,symbol:00
symbol:01,symbol:10
symbol:10,symbol:11
symbol:00,symbol:10
symbol:01,symbol:01
symbol:10,symbol:11
symbol:01,symbol:01
symbol:00,symbol:00
symbol:00,symbol:01
symbol:01,symbol:00
symbol:01,symbol:11
symbol:11,symbol:00
symbol:11,symbol:00
symbol:01,symbol:11
symbol:00,symbol:11
symbol:01,symbol:11
symbol:11,symbol:11
symbol:11,symbol:11
symbol:10,symbol:00
symbol:01,symbol:11
symbol:10,symbol:01
symbol:11,symbol:11
symbol:10,symbol:10
symbol:10,symbol:01
symbol:10,symbol:00
symbol:11,symbol:11
symbol:01,symbol:10
symbol:01,symbol:11
symbol:01,symbol:00
symbol:11,symbol:10
symbol:00,symbol:01
symbol:00,symbol:10
symbol:01,symbol:10
symbol:10,symbol:10
symbol:01,symbol:10
symbol:11,symbol:10
symbol:11,symbol:11
symbol:11,symbol:00
symbol:11,symbol:11
symbol:11,symbol:01
symbol:11,symbol:10
symbol:11,symbol:00
symbol:11,symbol:10
symbol:00,symbol:10
symbol:11,symbol:10
symbol:00,symbol:01
symbol:10,symbol:11
symbol:10,symbol:00
symbol:10,symbol:10
symbol:11,symbol:10
symbol:11,symbol:00
symbol:01,symbol:01
symbol:00,symbol:10
symbol:11,symbol:11
symbol:00,symbol:00
symbol:11,symbol:11
symbol:11,symbol:10
symbol:11,symbol:11
symbol:00,symbol:00
symbol:01,symbol:01
symbol:11,symbol:10
symbol:11,symbol:01
symbol:01,symbol:10
symbol:00,symbol:11
symbol:10,symbol:11
symbol:11,symbol:01
symbol:11,symbol:10
symbol:11,symbol:00
symbol:11,symbol:11
symbol:11,symbol:11
symbol:00,symbol:10
symbol:11,symbol:01
symbol:01,symbol:00
symbol:00,symbol:00
symbol:01,symbol:11
symbol:10,symbol:11
symbol:11,symbol:11
symbol:01,symbol:01
symbol:10,symbol:10
symbol:00,symbol:00
symbol:10,symbol:11
symbol:00,symbol:11
symbol:11,symbol:01
symbol:10,symbol:11
symbol:01,symbol:00
symbol:01,symbol:10
symbol:01,symbol:11
symbol:11,symbol:01
symbol:11,symbol:11
symbol:10,symbol:00
symbol:01,symbol:10
symbol:01,symbol:10
symbol:11,symbol:11
symbol:11,symbol:11
symbol:11,symbol:00
symbol:00,symbol:01
symbol:01,symbol:10
symbol:00,symbol:10
symbol:10,symbol:01
symbol:11,symbol:10
symbol:00,symbol:01
symbol:00,symbol:00
symbol:10,symbol:01
symbol:11,symbol:10
symbol:01,symbol:11
symbol:00,symbol:01
symbol:00,symbol:11
symbol:10,symbol:00
symbol:10,symbol:01
symbol:11,symbol:11
symbol:00,symbol:10
symbol:10,symbol:10
symbol:10,symbol:00
symbol:10,symbol:11
symbol:00,symbol:10
symbol:10,symbol:01
symbol:10,symbol:10
symbol:11,symbol:10
symbol:00,symbol:11
symbol:00,symbol:01
symbol:01,symbol:11
symbol:10,symbol:00
symbol:11,symbol:10
symbol:10,symbol:11
symbol:00,symbol:10
symbol:00,symbol:11
symbol:10,symbol:01
symbol:10,symbol:00
symbol:01,symbol:10
symbol:11,symbol:11
symbol:00,symbol:10
symbol:00,symbol:11
symbol:01,symbol:01
symbol:10,symbol:10
symbol:10,symbol:10
symbol:00,symbol:10
symbol:01,symbol:11
symbol:10,symbol:11
symbol:10,symbol:11
symbol:01,symbol:01
symbol:10,symbol:00
symbol:00,symbol:11
symbol:11,symbol:01
symbol:11,symbol:01
symbol:01,symbol:00
symbol:01,symbol:10
symbol:01,symbol:00
symbol:01,symbol:11
symbol:11,symbol:10
symbol:11,symbol:10
symbol:11,symbol:11
symbol:11,symbol:01
symbol:11,symbol:10
symbol:11,symbol:01
symbol:10,symbol:11
symbol:10,symbol:10
symbol:10,symbol:11
symbol:11,symbol:10
symbol:11,symbol:11
symbol:00,symbol:00
symbol:00,symbol:11
symbol:11,symbol:11
symbol:10,symbol:10
symbol:00,symbol:00
symbol:10,symbol:01
symbol:01,symbol:00
symbol:00,symbol:11
symbol:01,symbol:10
symbol:10,symbol:10
symbol:00,symbol:00
symbol:00,symbol:00
symbol:01,symbol:01
symbol:10,symbol:01
symbol:10,symbol:11
symbol:00,symbol:11
symbol:00,symbol:01
symbol:01,symbol:10
symbol:01,symbol:00
symbol:10,symbol:01
symbol:10,symbol:01
symbol:01,symbol:11
symbol:00,symbol:11
symbol:11,symbol:01
symbol:10,symbol:10
symbol:00,symbol:01
symbol:11,symbol:01
symbol:00,symbol:01
symbol:00,symbol:01
symbol:10,symbol:00
symbol:00,symbol:01
symbol:01,symbol:11
symbol:01,symbol:10
symbol:01,symbol:10
symbol:01,symbol:11
symbol:00,symbol:11
symbol:11,symbol:01
symbol:10,symbol:01
symbol:11,symbol:10
symbol:10,symbol:01
symbol:10,symbol:00
symbol:11,symbol:10
symbol:00,symbol:10
symbol:00,symbol:01
symbol:00,symbol:11
symbol:10,symbol:10
symbol:11,symbol:11
symbol:10,symbol:10
symbol:10,symbol:00
symbol:11,symbol:01
symbol:01,symbol:11
symbol:01,symbol:10
symbol:11,symbol:01
symbol:10,symbol:01
symbol:10,symbol:10
symbol:00,symbol:10
symbol:10,symbol:01
symbol:11,symbol:11
symbol:01,symbol:10
symbol:01,symbol:11
symbol:10,symbol:11
symbol:00,symbol:01
symbol:10,symbol:01
symbol:00,symbol:11
symbol:10,symbol:01
symbol:10,symbol:00
symbol:11,symbol:00
symbol:00,symbol:00
symbol:10,symbol:10
symbol:10,symbol:10
symbol:11,symbol:11
symbol:10,symbol:00
symbol:11,symbol:10
symbol:10,symbol:10
symbol:11,symbol:01
symbol:11,symbol:11
symbol:00,symbol:11
symbol:01,symbol:11
symbol:11,symbol:01
symbol:00,symbol:11
symbol:11,symbol:00
symbol:11,symbol:01
symbol:00,symbol:01
symbol:11,symbol:10
symbol:00,symbol:10
symbol:11,symbol:00
symbol:11,symbol:11
symbol:11,symbol:00
symbol:01,symbol:00
symbol:01,symbol:01
symbol:00,symbol:00
symbol:01,symbol:00
symbol:11,symbol:01
symbol:11,symbol:11
symbol:00,symbol:00
symbol:00,symbol:11
symbol:10,symbol:11
symbol:00,symbol:00
symbol:00,symbol:11
symbol:10,symbol:01
symbol:00,symbol:10
symbol:00,symbol:01
symbol:00,symbol:11
symbol:11,symbol:01
symbol:00,symbol:10
symbol:00,symbol:10
symbol:00,symbol:01
symbol:00,symbol:01
symbol:00,symbol:01
symbol:10,symbol:10
symbol:11,symbol:00
symbol:10,symbol:00
symbol:11,symbol:00
symbol:11,symbol:00
symbol:11,symbol:10
symbol:11,symbol:11
symbol:00,symbol:10
symbol:11,symbol:01
symbol:10,symbol:00
symbol:10,symbol:00
symbol:00,symbol:10
symbol:10,symbol:10
symbol:11,symbol:11
symbol:10,symbol:00
symbol:01,symbol:00
symbol:10,symbol:11
symbol:01,symbol:01
symbol:01,symbol:00
symbol:10,symbol:11
symbol:00,symbol:10
symbol:11,symbol:11
symbol:11,symbol:11
symbol:11,symbol:01
symbol:10,symbol:11
symbol:01,symbol:11
symbol:10,symbol:01
symbol:10,symbol:11
symbol:11,symbol:00
symbol:01,symbol:11
symbol:01,symbol:11
symbol:10,symbol:11
symbol:01,symbol:00
symbol:11,symbol:01
symbol:01,symbol:10
symbol:01,symbol:00
symbol:10,symbol:11
symbol:11,symbol:11
symbol:00,symbol:00
symbol:01,symbol:11
symbol:11,symbol:10
symbol:00,symbol:11
symbol:01,symbol:11
symbol:11,symbol:01
symbol:01,symbol:11
symbol:10,symbol:00
symbol:01,symbol:10
symbol:01,symbol:11
symbol:11,symbol:10
symbol:00,symbol:11
symbol:00,symbol:01
symbol:01,symbol:00
symbol:00,symbol:10
symbol:10,symbol:11
symbol:01,symbol:00
symbol:10,symbol:01
symbol:11,symbol:01
symbol:11,symbol:10
symbol:01,symbol:00
symbol:10,symbol:01
symbol:01,symbol:10
symbol:01,symbol:00
symbol:00,symbol:10
symbol:10,symbol:10
symbol:11,symbol:01
symbol:11,symbol:11
symbol:11,symbol:11
symbol:01,symbol:10
symbol:11,symbol:11
symbol:00,symbol:00
symbol:00,symbol:10
symbol:10,symbol:11
symbol:11,symbol:11
symbol:00,symbol:00
symbol:00,symbol:01
symbol:00,symbol:00
symbol:00,symbol:10
symbol:00,symbol:11
symbol:01,symbol:00
symbol:10,symbol:00
symbol:00,symbol:00
symbol:00,symbol:11
symbol:11,symbol:01
symbol:11,symbol:01
symbol:00,symbol:10
symbol:11,symbol:01
symbol:10,symbol:10
symbol:00,symbol:11
symbol:11,symbol:00
symbol:00,symbol:01
symbol:10,symbol:01
symbol:10,symbol:01
symbol:00,symbol:00
symbol:00,symbol:01
symbol:00,symbol:10
symbol:00,symbol:10
symbol:11,symbol:00
symbol:01,symbol:11
symbol:00,symbol:00
symbol:01,symbol:10
symbol:10,symbol:11
symbol:11,symbol:01
symbol:11,symbol:01
symbol:11,symbol:00
symbol:11,symbol:10
symbol:01,symbol:01
symbol:11,symbol:01
symbol:11,symbol:11
symbol:10,symbol:00
symbol:01,symbol:00
symbol:00,symbol:10
symbol:10,symbol:10
symbol:00,symbol:11
symbol:01,symbol:10
symbol:01,symbol:11
symbol:01,symbol:10
symbol:00,symbol:10
symbol:11,symbol:00
symbol:00,symbol:11
symbol:01,symbol:01
symbol:01,symbol:10
symbol:10,symbol:11
symbol:01,symbol:11
symbol:00,symbol:10
symbol:00,symbol:00
symbol:00,symbol:01
symbol:11,symbol:10
symbol:01,symbol:00
symbol:00,symbol:11
symbol:11,symbol:01
symbol:01,symbol:00
symbol:00,symbol:01
symbol:01,symbol:00
symbol:11,symbol:11
symbol:10,symbol:01
symbol:11,symbol:01
symbol:10,symbol:00
symbol:10,symbol:01
symbol:00,symbol:01
symbol:01,symbol:01
symbol:10,symbol:01
symbol:01,symbol:10
symbol:11,symbol:00
symbol:10,symbol:00
symbol:00,symbol:01
symbol:10,symbol:11
symbol:10,symbol:11
symbol:00,symbol:10
symbol:10,symbol:00
symbol:10,symbol:11
symbol:11,symbol:10
symbol:00,symbol:00
symbol:10,symbol:01
symbol:01,symbol:10
symbol:11,symbol:10
symbol:01,symbol:01
symbol:00,symbol:01
symbol:01,symbol:10
symbol:00,symbol:01
symbol:00,symbol:00
symbol:00,symbol:10
symbol:10,symbol:11
symbol:10,symbol:11
symbol:11,symbol:00
symbol:10,symbol:10
symbol:11,symbol:11
symbol:10,symbol:10
symbol:10,symbol:00
symbol:01,symbol:11
symbol:11,symbol:01
symbol:10,symbol:01
symbol:00,symbol:00
symbol:11,symbol:11
symbol:10,symbol:11
symbol:00,symbol:00
symbol:10,symbol:11
symbol:01,symbol:10
symbol:11,symbol:11
symbol:11,symbol:11
symbol:10,symbol:11
symbol:00,symbol:01
symbol:10,symbol:11
symbol:01,symbol:10
symbol:00,symbol:11
symbol:11,symbol:00
symbol:01,symbol:11
symbol:11,symbol:00
symbol:01,symbol:10
symbol:00,symbol:10
symbol:11,symbol:01
symbol:10,symbol:01
symbol:10,symbol:11
symbol:11,symbol:10
symbol:00,symbol:01
symbol:10,symbol:01
symbol:11,symbol:01
symbol:01,symbol:10
symbol:10,symbol:11
symbol:10,symbol:11
symbol:01,symbol:10
symbol:01,symbol:01
symbol:11,symbol:00
symbol:11,symbol:00
symbol:10,symbol:10
symbol:00,symbol:01
symbol:11,symbol:11
symbol:01,symbol:11
symbol:00,symbol:01
symbol:00,symbol:01
symbol:00,symbol:11
symbol:01,symbol:11
symbol:11,symbol:11
symbol:11,symbol:01
symbol:10,symbol:01
symbol:11,symbol:10
symbol:01,symbol:11
symbol:10,symbol:11
symbol:11,symbol:00
symbol:11,symbol:01
symbol:11,symbol:11
symbol:01,symbol:01
symbol:10,symbol:01
symbol:00,symbol:00
symbol:10,symbol:10
symbol:01,symbol:10
symbol:10,symbol:01
symbol:10,symbol:10
symbol:11,symbol:10
symbol:10,symbol:10
symbol:01,symbol:11
symbol:10,symbol:10
symbol:00,symbol:00
symbol:11,symbol:10
symbol:00,symbol:11
symbol:11,symbol:01
symbol:00,symbol:01
symbol:01,symbol:11
symbol:10,symbol:01
symbol:00,symbol:00
symbol:11,symbol:11
symbol:11,symbol:11
symbol:01,symbol:01
symbol:10,symbol:01
symbol:10,symbol:00
symbol:00,symbol:01
symbol:10,symbol:10
symbol:00,symbol:10
symbol:01,symbol:10
symbol:11,symbol:10
symbol:00,symbol:00
symbol:11,symbol:00
symbol:00,symbol:00
symbol:11,symbol:01
symbol:11,symbol:10
symbol:11,symbol:01
symbol:11,symbol:01
symbol:11,symbol:01
symbol:11,symbol:01
symbol:01,symbol:00
symbol:00,symbol:01
symbol:01,symbol:00
symbol:01,symbol:10
symbol:01,symbol:00
symbol:10,symbol:00
symbol:11,symbol:10
symbol:00,symbol:10
symbol:10,symbol:00
symbol:11,symbol:11
symbol:01,symbol:00
symbol:11,symbol:00
symbol:00,symbol:10
symbol:00,symbol:11
symbol:10,symbol:10
symbol:00,symbol:00
symbol:00,symbol:00
symbol:01,symbol:01
symbol:00,symbol:00
symbol:01,symbol:01
symbol:01,symbol:10
symbol:11,symbol:11
symbol:10,symbol:00
symbol:01,symbol:00
symbol:10,symbol:00
symbol:10,symbol:10
symbol:00,symbol:11
symbol:01,symbol:00
symbol:00,symbol:00
symbol:00,symbol:01
symbol:11,symbol:01
symbol:01,symbol:00
symbol:00,symbol:01
symbol:00,symbol:00
symbol:01,symbol:01
symbol:11,symbol:01
symbol:00,symbol:01
symbol:00,symbol:01
symbol:00,symbol:11
symbol:01,symbol:10
symbol:00,symbol:00
symbol:00,symbol:00
symbol:00,symbol:11
symbol:00,symbol:11
symbol:00,symbol:00
symbol:01,symbol:11
symbol:01,symbol:01
symbol:00,symbol:00
symbol:10,symbol:11
symbol:01,symbol:11
symbol:11,symbol:11
symbol:11,symbol:11
symbol:01,symbol:10
symbol:10,symbol:10
symbol:00,symbol:11
symbol:01,symbol:01
symbol:01,symbol:10
symbol:01,symbol:01
symbol:01,symbol:10
symbol:10,symbol:01
symbol:01,symbol:11
symbol:10,symbol:10
symbol:10,symbol:10
symbol:10,symbol:01
symbol:11,symbol:00
symbol:10,symbol:11
symbol:10,symbol:10
symbol:01,symbol:01
symbol:00,symbol:10
symbol:00,symbol:00
symbol:00,symbol:01
symbol:00,symbol:10
symbol:01,symbol:10
symbol:00,symbol:00
symbol:10,symbol:11
symbol:11,symbol:11
symbol:10,symbol:00
symbol:00,symbol:00
symbol:11,symbol:10
symbol:01,symbol:11
symbol:00,symbol:10
symbol:00,symbol:00
symbol:00,symbol:11
symbol:11,symbol:10
symbol:10,symbol:01
symbol:10,symbol:11
symbol:11,symbol:10
symbol:00,symbol:11
symbol:00,symbol:00
symbol:11,symbol:00
symbol:00,symbol:11
symbol:11,symbol:00
symbol:00,symbol:11
symbol:10,symbol:11
symbol:00,symbol:01
symbol:01,symbol:11
symbol:00,symbol:11
symbol:11,symbol:11
symbol:00,symbol:11
symbol:00,symbol:00
symbol:11,symbol:00
symbol:11,symbol:11
symbol:11,symbol:00
symbol:11,symbol:10
symbol:01,symbol:01
symbol:11,symbol:01
symbol:00,symbol:01
symbol:01,symbol:11
symbol:10,symbol:01
symbol:10,symbol:01
symbol:10,symbol:10
symbol:01,symbol:11
symbol:00,symbol:01
symbol:01,symbol:00
symbol:11,symbol:10
symbol:10,symbol:10
symbol:10,symbol:11
symbol:10,symbol:01
symbol:00,symbol:10
symbol:00,symbol:01
symbol:10,symbol:00
symbol:01,symbol:00
symbol:11,symbol:00
symbol:00,symbol:01
symbol:00,symbol:00
symbol:10,symbol:11
symbol:00,symbol:01
symbol:11,symbol:01
symbol:01,symbol:10
symbol:01,symbol:11
symbol:10,symbol:01
symbol:00,symbol:11
symbol:10,symbol:00
symbol:11,symbol:11
symbol:11,symbol:10
symbol:10,symbol:01
symbol:10,symbol:10
symbol:00,symbol:00
symbol:01,symbol:11
symbol:10,symbol:00
symbol:10,symbol:11
symbol:01,symbol:00
symbol:00,symbol:10
symbol:10,symbol:00
symbol:11,symbol:10
symbol:00,symbol:11
symbol:10,symbol:01
symbol:01,symbol:00
symbol:00,symbol:01
symbol:00,symbol:00
symbol:11,symbol:01
symbol:10,symbol:11
symbol:01,symbol:00
symbol:10,symbol:01
symbol:10,symbol:01
symbol:00,symbol:10
symbol:11,symbol:01
symbol:10,symbol:00
symbol:00,symbol:00
symbol:01,symbol:11
symbol:01,symbol:10
symbol:10,symbol:10
symbol:11,symbol:01
symbol:01,symbol:00
symbol:01,symbol:01
symbol:11,symbol:11
symbol:10,symbol:00
symbol:00,symbol:00
symbol:11,symbol:00
symbol:11,symbol:10
symbol:10,symbol:11
symbol:00,symbol:01
symbol:10,symbol:10
symbol:01,symbol:11
symbol:00,symbol:00
symbol:10,symbol:10
symbol:01,symbol:10
symbol:00,symbol:01
symbol:10,symbol:11
symbol:00,symbol:11
symbol:11,symbol:01
symbol:10,symbol:00
symbol:01,symbol:00
symbol:10,symbol:00
symbol:01,symbol:00
symbol:01,symbol:00
symbol:01,symbol:11
symbol:10,symbol:10
symbol:11,symbol:00
symbol:01,symbol:10
symbol:10,symbol:00
symbol:01,symbol:11
symbol:11,symbol:01
symbol:01,symbol:11
symbol:00,symbol:00
symbol:01,symbol:00
symbol:11,symbol:10
symbol:11,symbol:10
symbol:01,symbol:01
symbol:11,symbol:00
symbol:10,symbol:10
symbol:00,symbol:10
symbol:01,symbol:00
symbol:00,symbol:00
symbol:11,symbol:11
symbol:10,symbol:01
symbol:11,symbol:00
symbol:00,symbol:11
symbol:00,symbol:01
symbol:00,symbol:01
symbol:11,symbol:11
symbol:10,symbol:00
symbol:01,symbol:00
symbol:01,symbol:10
symbol:00,symbol:01
symbol:01,symbol:01
symbol:11,symbol:00
symbol:00,symbol:10
symbol:10,symbol:01
symbol:11,symbol:01
symbol:10,symbol:00
symbol:01,symbol:11
symbol:00,symbol:00
symbol:11,symbol:10
symbol:11,symbol:01
symbol:00,symbol:00
symbol:11,symbol:00
symbol:11,symbol:11
symbol:00,symbol:00
symbol:11,symbol:00
symbol:01,symbol:01
symbol:00,symbol:11
symbol:10,symbol:11
symbol:10,symbol:11
symbol:10,symbol:00
symbol:01,symbol:01
symbol:00,symbol:01
symbol:00,symbol:11
symbol:10,symbol:10
symbol:10,symbol:00
symbol:11,symbol:01
symbol:00,symbol:01
symbol:11,symbol:00
symbol:01,symbol:00
symbol:11,symbol:01
symbol:10,symbol:10
symbol:10,symbol:01
symbol:01,symbol:01
symbol:01,symbol:10
symbol:01,symbol:11
symbol:00,symbol:00
symbol:10,symbol:01
symbol:01,symbol:00
symbol:00,symbol:11
symbol:11,symbol:11
symbol:11,symbol:01
symbol:11,symbol:10
symbol:00,symbol:10
symbol:01,symbol:01
symbol:10,symbol:01
symbol:00,symbol:10
symbol:10,symbol:00
symbol:10,symbol:11
symbol:10,symbol:10
symbol:00,symbol:00
symbol:00,symbol:01
symbol:10,symbol:11
symbol:10,symbol:10
symbol:11,symbol:00
symbol:01,symbol:11
symbol:00,symbol:00
symbol:10,symbol:10
symbol:01,symbol:00
symbol:11,symbol:11
symbol:00,symbol:01
symbol:00,symbol:10
symbol:00,symbol:01
symbol:01,symbol:11
symbol:00,symbol:11
symbol:00,symbol:11
symbol:11,symbol:10
symbol:01,symbol:01
symbol:10,symbol:01
symbol:01,symbol:11
symbol:10,symbol:11
symbol:01,symbol:11
symbol:11,symbol:01
symbol:01,symbol:10
symbol:00,symbol:10
symbol:11,symbol:10
